Entity,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Unnamed: 10,median_NOx,mean_NOx,std_NOx
United States,USA,2003,17267340.0,13886723.0,64976856.0,580346.6,13480561.0,217868.6,3874082.2,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2004,16511385.0,13355942.0,60479120.0,595066.8,13372118.0,230706.92,3862108.5,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2005,16311490.0,13291726.0,57691544.0,604776.06,13331693.0,234141.39,4143456.2,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2006,15464336.0,11447893.0,54970508.0,587540.4,13075883.0,229715.75,4017162.2,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2007,14971075.0,10658782.0,50682504.0,594966.25,12841635.0,230586.42,4226582.5,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2008,13878402.0,9113667.0,46432916.0,607366.25,12427928.0,223694.08,4105730.5,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2009,11962384.0,7207421.0,42935428.0,597499.56,11453838.0,209782.03,3906786.2,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2010,11751738.0,6259394.0,38709650.0,623069.1,11195182.0,218527.77,4000680.2,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2011,11760195.0,5761469.0,38878104.0,603045.75,11633875.0,195399.58,4054445.8,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2012,10909564.0,4628252.5,34972800.0,547849.3,11223953.0,176553.83,4036744.5,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2013,10647596.0,4395203.5,35743176.0,588665.4,10944835.0,184895.53,3993807.0,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2014,10110209.0,4153988.0,34628884.0,590393.8,10951584.0,178161.83,3886277.5,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2015,9548504.0,3207731.5,33485808.0,565982.44,10620185.0,175432.3,3990964.0,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2016,8999325.0,2476505.2,29727288.0,524151.28,10425299.0,164689.4,4031489.0,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2017,8387864.5,2245408.8,28561028.0,504386.38,11005045.0,157959.75,4094296.0,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2018,8193212.0,2143257.8,26730576.0,527862.7,11010251.0,158095.27,4512596.0,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2019,7689796.5,1882706.5,24870812.0,514527.94,10787989.0,148230.95,4543765.0,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2020,6808512.0,1600467.0,21277028.0,443574.75,10413295.0,129181.01,4552450.0,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2021,7000289.5,1738428.4,22130986.0,439785.4,10486530.0,131700.89,4591702.5,0.0,2668976.85,7511777.26863421,8838424.366257107
United States,USA,2022,6837541.5,1662017.0,21708476.0,443384.84,10467571.0,126661.76,4624186.0,0.0,2668976.85,7511777.26863421,8838424.366257107
